code,name,open,pre_close,price,high,low,买入价格,买入数量,卖出价格,卖出数量,交易规则,执行结果,选中
300474,景嘉微,194.930,194.910,201.590,209.650,191.110,,,,,,,
603659,璞泰来,172.000,171.870,177.170,178.400,170.510,168.0,,,,,,
600905,三峡能源,6.850,6.860,6.800,6.900,6.760,6.6,,,,,,
002475,立讯精密,43.310,43.100,42.740,43.330,42.420,,,,,,,
600765,中航重机,48.840,48.900,48.860,48.980,48.110,47.0,,,,,,
600549,厦门钨业,22.900,22.900,23.500,23.520,22.900,,,,,,,
600346,恒力石化,21.800,21.720,22.260,22.360,21.710,,,,,,,
600019,宝钢股份,6.530,6.530,6.460,6.550,6.430,6.3,,,,,,
600406,国电南瑞,40.400,40.120,40.120,40.790,39.540,36.0,,,,,,
301050,雷电微力,288.080,288.000,286.590,289.970,284.000,255.0,,,,,,
003031,中瓷电子,81.290,81.760,82.830,83.200,78.860,70.0,,,,,,
688036,传音控股,,,,,,,,,,,,
